iteration,learning_rate,last_perf,last_perf_cap,min_perf,time
in,in,out,out,out,out
int,float,float,float,float,float
0,1.43E-09,12.93409977,12.93409977,12.93409977,44.669146
1,2.86E-09,12.93409748,12.93409748,12.93409748,51.405788
2,4.29E-09,12.93409557,12.93409557,12.93409557,46.815663
3,5.71E-09,12.93409424,12.93409424,12.93409424,46.788046
4,7.14E-09,12.93409176,12.93409176,12.93409176,47.099656
5,8.57E-09,12.93409061,12.93409061,12.93409061,47.858828
6,1.00E-08,12.93408871,12.93408871,12.93408871,48.047217
7,1.14E-08,12.93408699,12.93408699,12.93408699,47.598967
8,1.29E-08,12.93408489,12.93408489,12.93408489,50.595994
9,1.43E-08,12.93408356,12.93408356,12.93408356,47.544007
10,1.43E-08,12.93408356,12.93408356,12.93408356,47.440916
11,1.57E-08,12.93408146,12.93408146,12.93408146,47.115693
12,1.71E-08,12.93407936,12.93407936,12.93407936,50.781236
13,1.86E-08,12.93407803,12.93407803,12.93407803,48.916536
14,2.00E-08,12.93407593,12.93407593,12.93407593,48.623246
15,2.14E-08,12.93407421,12.93407421,12.93407421,56.587624
16,2.29E-08,12.93407211,12.93407211,12.93407211,49.240952
17,2.43E-08,12.93407021,12.93407021,12.93407021,51.764274
18,2.57E-08,12.93406849,12.93406849,12.93406849,49.184054
19,2.71E-08,12.93406658,12.93406658,12.93406658,51.060708
20,2.86E-08,12.93406487,12.93406487,12.93406487,49.309201
21,2.86E-08,12.93406487,12.93406487,12.93406487,52.320663
22,3.00E-08,12.93406353,12.93406353,12.93406353,54.287546
23,3.14E-08,12.93406105,12.93406105,12.93406105,49.3522
24,3.29E-08,12.93405895,12.93405895,12.93405895,50.253076
25,3.43E-08,12.93405724,12.93405724,12.93405724,51.305819
26,3.57E-08,12.9340559,12.9340559,12.9340559,48.903167
27,3.71E-08,12.93405361,12.93405361,12.93405361,50.145084
28,3.86E-08,12.93405247,12.93405247,12.93405247,50.222489
29,4.00E-08,12.93405037,12.93405037,12.93405037,49.639418
30,4.14E-08,12.93404827,12.93404827,12.93404827,49.934697
31,4.29E-08,12.93404655,12.93404655,12.93404655,50.866123
32,4.29E-08,12.93404655,12.93404655,12.93404655,51.111208
33,4.43E-08,12.93404465,12.93404465,12.93404465,49.910476
34,4.57E-08,12.93404293,12.93404293,12.93404293,53.803585
35,4.71E-08,12.93404102,12.93404102,12.93404102,50.012393
36,4.86E-08,12.93403912,12.93403912,12.93403912,50.264471
37,5.00E-08,12.9340374,12.9340374,12.9340374,51.10718
38,5.14E-08,12.9340353,12.9340353,12.9340353,53.694431
39,5.29E-08,12.93403339,12.93403339,12.93403339,53.347212
40,5.43E-08,12.93403168,12.93403168,12.93403168,49.42238
41,5.57E-08,12.93402996,12.93402996,12.93402996,49.308888
42,5.71E-08,12.93402786,12.93402786,12.93402786,50.938765
43,5.71E-08,12.93402786,12.93402786,12.93402786,50.785572
44,5.86E-08,12.93402691,12.93402691,12.93402691,49.601666
45,6.00E-08,12.93402424,12.93402424,12.93402424,53.192331
46,6.14E-08,12.93402252,12.93402252,12.93402252,54.526785
47,6.29E-08,12.93402138,12.93402138,12.93402138,49.603953
48,6.43E-08,12.9340189,12.9340189,12.9340189,50.070352
49,6.57E-08,12.93401718,12.93401718,12.93401718,52.821688
50,6.71E-08,12.93401527,12.93401527,12.93401527,55.459127
51,6.86E-08,12.93401375,12.93401375,12.93401375,50.473426
52,7.00E-08,12.93401184,12.93401184,12.93401184,50.323879
53,7.14E-08,12.93401012,12.93401012,12.93401012,50.595896
54,7.14E-08,12.93401012,12.93401012,12.93401012,50.287238
55,7.29E-08,12.93400745,12.93400745,12.93400745,51.521771
56,7.43E-08,12.93400631,12.93400631,12.93400631,54.36246
57,7.57E-08,12.93400402,12.93400402,12.93400402,49.914036
58,7.71E-08,12.9340023,12.9340023,12.9340023,51.088048
59,7.86E-08,12.93400059,12.93400059,12.93400059,50.650012
60,8.00E-08,12.93399925,12.93399925,12.93399925,49.651363
61,8.14E-08,12.93399677,12.93399677,12.93399677,50.298193
62,8.29E-08,12.93399544,12.93399544,12.93399544,50.370962
63,8.43E-08,12.93399334,12.93399334,12.93399334,50.464255
64,8.57E-08,12.9339922,12.9339922,12.9339922,55.185309
65,8.57E-08,12.9339922,12.9339922,12.9339922,54.669134
66,8.71E-08,12.9339901,12.9339901,12.9339901,50.263395
67,8.86E-08,12.93398762,12.93398762,12.93398762,52.723217
68,9.00E-08,12.93398647,12.93398647,12.93398647,51.741853
69,9.14E-08,12.93398457,12.93398457,12.93398457,58.764748
70,9.29E-08,12.93398247,12.93398247,12.93398247,54.678577
71,9.43E-08,12.93398075,12.93398075,12.93398075,50.845
72,9.57E-08,12.93397903,12.93397903,12.93397903,53.245773
73,9.71E-08,12.93397732,12.93397732,12.93397732,49.689519
74,9.86E-08,12.93397522,12.93397522,12.93397522,52.012242
75,1.00E-07,12.93397331,12.93397331,12.93397331,56.727335
76,1.14E-07,12.93395538,12.93395538,12.93395538,54.442525
77,1.29E-07,12.93393669,12.93393669,12.93393669,52.192785
78,1.43E-07,12.93391857,12.93391857,12.93391857,52.085974
79,1.43E-07,12.93391857,12.93391857,12.93391857,54.908737
80,1.57E-07,12.93390026,12.93390026,12.93390026,51.617202
81,1.71E-07,12.93388176,12.93388176,12.93388176,52.447943
82,1.86E-07,12.93386383,12.93386383,12.93386383,51.913087
83,2.00E-07,12.93384514,12.93384514,12.93384514,56.771027
84,2.14E-07,12.93382721,12.93382721,12.93382721,51.117035
85,2.29E-07,12.93380871,12.93380871,12.93380871,52.54944
86,2.43E-07,12.93379078,12.93379078,12.93379078,52.772991
87,2.57E-07,12.93377247,12.93377247,12.93377247,52.332298
88,2.71E-07,12.93375416,12.93375416,12.93375416,58.030171
89,2.86E-07,12.93373585,12.93373585,12.93373585,52.085105
90,2.86E-07,12.93373585,12.93373585,12.93373585,51.818104
91,3.00E-07,12.93371754,12.93371754,12.93371754,52.129667
92,3.14E-07,12.93369827,12.93369827,12.93369827,53.326591
93,3.29E-07,12.93368073,12.93368073,12.93368073,53.690256
94,3.43E-07,12.93366222,12.93366222,12.93366222,59.546536
95,3.57E-07,12.93364353,12.93364353,12.93364353,58.290525
96,3.71E-07,12.93362579,12.93362579,12.93362579,52.311171
97,3.86E-07,12.93360729,12.93360729,12.93360729,57.603317
98,4.00E-07,12.9335886,12.9335886,12.9335886,51.968123
99,4.14E-07,12.93356972,12.93356972,12.93356972,56.962051
100,4.29E-07,12.93355103,12.93355103,12.93355103,52.435946
101,4.29E-07,12.93355103,12.93355103,12.93355103,55.428462
102,4.43E-07,12.93353252,12.93353252,12.93353252,54.122491
103,4.57E-07,12.93351383,12.93351383,12.93351383,52.287929
104,4.71E-07,12.93349533,12.93349533,12.93349533,58.95153
105,4.86E-07,12.93347702,12.93347702,12.93347702,71.53453
106,5.00E-07,12.93345814,12.93345814,12.93345814,58.224571
107,5.14E-07,12.93343964,12.93343964,12.93343964,58.751733
108,5.29E-07,12.93342094,12.93342094,12.93342094,52.758955
109,5.43E-07,12.93340206,12.93340206,12.93340206,53.543562
