iteration,dense_layers,learning_rate,optimizer,activation,dropout,rnn_activation,rnn_dropout,last_activation,rnn_type,rnn_size,last_perf,min_perf,time,
,,,,,,,,,,,,,,
0,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,none,0,1.838096929,1.438278794,9.636441
,,,,,,,,,,,,,,
1,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,50,1.273694789,1.145345056,48.311399
,,,,,,,,,,,,,,
2,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,65,1.27391758,1.156304061,50.56525
,,,,,,,,,,,,,,
3,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,80,1.209845078,1.078262103,52.772019
,,,,,,,,,,,,,,
4,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,95,1.281944907,1.179305816,48.953372
,,,,,,,,,,,,,,
5,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,110,1.248308802,1.144736934,49.392258
,,,,,,,,,,,,,,
6,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,125,1.242678249,1.124876189,65.593331
,,,,,,,,,,,,,,
7,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,140,1.260153317,1.162130654,38.969985
,,,,,,,,,,,,,,
8,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,155,1.274123847,1.153502059,40.580921
,,,,,,,,,,,,,,
9,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,170,1.29070015,1.143623805,33.971585
,,,,,,,,,,,,,,
10,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,185,1.312934446,1.221424007,40.2794
,,,,,,,,,,,,,,
11,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,200,1.145557499,1.012264991,44.950239
,,,,,,,,,,,,,,
12,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,215,1.224017441,1.075805724,49.410354
,,,,,,,,,,,,,,
