iteration,seed,rnn_type,rnn_size,last_perf,min_perf,time
in,in,in,in,out,out,out
int,int,str,int,float,float,float
0,0,none,0,1.695663905,1.303907371,12.685055
1,0,lstm,50,1.202011895,1.097745407,51.548024
2,0,lstm,65,1.226138914,1.071349549,45.34404
3,0,lstm,80,1.244254994,1.14116143,47.999097
4,0,lstm,95,1.169978178,1.044218206,48.039312
5,0,lstm,110,1.384381771,1.271738291,36.850007
6,0,lstm,125,1.211146796,1.109692454,38.964578
7,0,lstm,140,1.214536417,1.092566359,37.951193
8,0,lstm,155,1.209107947,1.083210588,40.139234
9,0,lstm,170,1.249352109,1.073722506,39.626121
10,0,lstm,185,1.274835074,1.153686798,38.238555
11,0,lstm,200,1.263116968,1.147782755,36.301712
12,0,lstm,215,1.257417178,1.150928843,38.477482
13,0,lstm,230,1.302032888,1.208745992,36.756014
14,0,lstm,245,1.206199503,1.113736975,40.880735
15,0,lstm,260,1.288822389,1.174461675,36.92828
16,0,lstm,275,1.245332003,1.094225383,43.036747
17,0,lstm,290,1.095614946,1.010763144,42.166239
18,0,lstm,305,1.26020124,1.114681876,38.642821
19,0,lstm,320,1.184574819,1.018855178,41.240257
20,0,lstm,335,1.221650517,1.090747631,40.837775
21,0,lstm,350,1.261499846,1.160899746,39.871028
22,0,lstm,365,1.242899454,1.123026681,40.383067
23,0,lstm,380,1.183214653,1.073456895,41.661973
24,0,lstm,395,1.356075597,1.243911159,38.654743
25,0,lstm,410,1.360593045,1.231857955,38.038686
26,0,lstm,425,1.498757005,1.315481067,39.936303
27,0,lstm,440,1.477756572,1.163172615,38.829206
28,0,lstm,455,1.27124126,1.137260568,41.687956
29,0,lstm,470,1.128863633,0.989560354,46.110827
30,0,lstm,485,1.379431188,1.2247329,41.121844
31,0,simplernn,50,1.684673476,1.316536903,19.679882
32,0,simplernn,65,1.825798607,1.355401397,19.533568
33,0,simplernn,80,1.502486849,1.297928286,21.691739
34,0,simplernn,95,1.553738761,1.275484455,22.207451
35,0,simplernn,110,1.745626926,1.461864233,22.2628
36,0,simplernn,125,1.488548517,1.126755667,23.599331
37,0,simplernn,140,1.606685495,1.297146297,22.361967
38,0,simplernn,155,1.685402131,1.32414875,21.166314
39,0,simplernn,170,1.682498193,1.477177835,22.807295
40,0,simplernn,185,1.766739368,1.454159856,23.002404
41,0,simplernn,200,1.621636486,1.372852755,23.026768
42,0,simplernn,215,1.71525209,1.45492661,23.97522
43,0,simplernn,230,1.633685422,1.398006916,24.079427
44,0,simplernn,245,1.74230783,1.488559961,23.656083
45,0,simplernn,260,1.551330519,1.474672532,24.674416
46,0,simplernn,275,1.664131618,1.424990535,25.7455
47,0,simplernn,290,1.63230269,1.431053495,25.144326
48,0,simplernn,305,1.679024434,1.478102732,24.912891
49,0,simplernn,320,1.564228177,1.40723002,25.496668
50,0,simplernn,335,1.635031796,1.425351143,26.510636
51,0,simplernn,350,1.601693845,1.429692411,27.695757
52,0,simplernn,365,1.674509835,1.595917773,25.707175
53,0,simplernn,380,1.624176764,1.488909888,25.737395
54,0,simplernn,395,1.955841112,1.496477866,23.963863
55,0,simplernn,410,1.503854847,1.444105768,30.68492
56,0,simplernn,425,1.606927133,1.517751098,26.204338
57,0,simplernn,440,1.77019906,1.66643517,27.446049
58,0,simplernn,455,2.054299021,1.529089856,23.022826
59,0,simplernn,470,1.926060343,1.67339313,24.999513
60,0,simplernn,485,1.984835863,1.628744984,24.061521
0,1,none,0,1.789767385,1.407001185,9.479765
1,1,lstm,50,1.218414319,1.106411719,37.095556
2,1,lstm,65,1.256127787,1.135774755,42.008363
3,1,lstm,80,1.286222017,1.14186151,42.822597
4,1,lstm,95,1.213340795,1.054933929,39.242064
5,1,lstm,110,1.239312458,1.07639823,39.905362
6,1,lstm,125,1.210424519,1.09445926,40.072017
7,1,lstm,140,1.220428097,1.087773073,39.200789
8,1,lstm,155,1.228365827,1.134177601,34.014441
9,1,lstm,170,1.275794482,1.164881825,34.050021
10,1,lstm,185,1.303808331,1.156598556,35.434705
11,1,lstm,200,1.304876709,1.194786155,35.737266
12,1,lstm,215,1.179317474,1.057634258,41.798368
13,1,lstm,230,1.219171631,1.098443139,40.305789
14,1,lstm,245,1.200885272,1.052386594,41.104124
15,1,lstm,260,1.333031273,1.190785897,39.087117
16,1,lstm,275,1.321568584,1.238844001,39.54874
17,1,lstm,290,1.186806285,1.07120235,39.477898
18,1,lstm,305,1.247165394,1.109490335,42.679392
19,1,lstm,320,1.237921333,1.103330016,44.864299
20,1,lstm,335,1.268392181,1.134779477,40.63534
21,1,lstm,350,1.253804243,1.137121141,40.928322
22,1,lstm,365,1.279170787,1.204652703,41.39594
23,1,lstm,380,1.115604901,1.01283251,43.347673
24,1,lstm,395,1.28958782,1.222653449,40.000038
25,1,lstm,410,1.44198935,1.24569931,42.300333
26,1,lstm,425,1.332629061,1.242916965,39.587187
27,1,lstm,440,1.352856112,1.1623155,44.148217
28,1,lstm,455,1.309664273,1.1366606,42.488492
29,1,lstm,470,1.318267941,1.209895158,41.917728
30,1,lstm,485,1.30309211,1.229296792,44.443296
31,1,simplernn,50,1.683356726,1.28376596,20.709984
32,1,simplernn,65,1.640899825,1.280168223,19.100207
33,1,simplernn,80,1.511923599,1.19478488,22.547976
34,1,simplernn,95,1.585148621,1.292525101,21.880249
35,1,simplernn,110,1.657704806,1.477630985,21.962559
36,1,simplernn,125,1.629256797,1.24441812,22.741234
37,1,simplernn,140,1.768759704,1.349315441,20.680202
38,1,simplernn,155,1.590013933,1.296212864,23.139938
39,1,simplernn,170,1.706505013,1.383125043,21.801985
40,1,simplernn,185,1.572333598,1.339675176,23.96992
