iteration,seed,last_activation,last_perf,min_perf,time
0,990947961,linear,1.2856601,1.125115025,50.067463
1,990947961,relu,1.327950835,1.210879111,47.574663
2,990947961,leaky_relu,1.243569469,1.126705849,46.263016
0,1793026083,linear,1.239541733,1.142805862,51.091005
1,1793026083,relu,1.292232108,1.190825164,49.873106
2,1793026083,leaky_relu,1.289389825,1.160393369,52.817974
0,435321850,linear,1.29245801,1.177728295,48.493247
1,435321850,relu,1.24598707,1.117164981,64.84832
2,435321850,leaky_relu,1.281461668,1.19564476,61.91825
0,1150585210,linear,1.239194417,1.106100035,47.951449
1,1150585210,relu,1.272603321,1.15954082,70.726645
2,1150585210,leaky_relu,1.24081881,1.090377986,64.033643
0,865321942,linear,1.301003063,1.143288255,62.608345
1,865321942,relu,1.210967469,1.115860701,71.925124
2,865321942,leaky_relu,1.28005389,1.183088171,62.426928
0,6734895,linear,1.311041057,1.154087913,57.570615
1,6734895,relu,1.358771253,1.215979397,57.375594
2,6734895,leaky_relu,1.371229839,1.176399541,49.280667
0,2741937987,linear,1.309880805,1.198790622,47.022774
1,2741937987,relu,1.31520493,1.198445523,48.737213
2,2741937987,leaky_relu,1.265740669,1.156059289,46.151516
0,961296548,linear,1.250178421,1.165994382,69.68352
1,961296548,relu,1.38897779,1.281327856,46.577779
2,961296548,leaky_relu,1.263492286,1.175293326,57.038966
0,1622992970,linear,1.333850479,1.206905925,55.766836
1,1622992970,relu,1.35694983,1.251776481,48.040972
2,1622992970,leaky_relu,1.278607762,1.153822982,53.645281
0,315629875,linear,1.285613966,1.173120654,44.320652
1,315629875,relu,1.285614002,1.17312063,44.632671
2,315629875,leaky_relu,1.285614002,1.173120677,45.660072
0,2038978465,linear,1.239322627,1.132014894,51.722606
1,2038978465,relu,1.235222054,1.144268835,49.511471
2,2038978465,leaky_relu,1.217869437,1.098568714,46.931644
0,1417011003,linear,1.242875147,1.126513159,43.830567
1,1417011003,relu,1.254035473,1.154541111,54.405631
2,1417011003,leaky_relu,1.257060599,1.117597187,46.669362
0,3570112671,linear,1.212683201,1.116255558,55.60278
1,3570112671,relu,1.141939151,1.069899619,47.262468
2,3570112671,leaky_relu,1.194175959,1.112754369,50.192395
0,2366072124,linear,1.359129131,1.199911129,54.469971
1,2366072124,relu,1.246747071,1.092578447,56.607393
2,2366072124,leaky_relu,1.345754147,1.17092458,51.456293
0,3005378930,linear,1.229344237,1.120297873,49.728882
1,3005378930,relu,1.270629287,1.166522551,47.991591
2,3005378930,leaky_relu,1.291268623,1.185394657,52.530984
0,3051144517,linear,1.265374994,1.166713846,46.881647
1,3051144517,relu,1.265491188,1.167817259,47.015292
2,3051144517,leaky_relu,1.278217101,1.160247302,46.392531
0,2780134229,linear,1.323069501,1.230351484,46.477779
1,2780134229,relu,1.301314962,1.184160566,49.894843
2,2780134229,leaky_relu,1.309406805,1.205177414,50.425665
0,1303589068,linear,1.256835568,1.138246608,49.45038
1,1303589068,relu,1.372276521,1.201251197,45.099394
2,1303589068,leaky_relu,1.329032469,1.15398469,47.762529
0,2957641665,linear,1.259905601,1.121801925,47.768529
1,2957641665,relu,1.270787334,1.171678054,46.190039
2,2957641665,leaky_relu,1.267465007,1.168241763,47.133734
0,392117564,linear,1.291815805,1.169596028,53.474678
1,392117564,relu,1.314620793,1.23276186,49.336021
2,392117564,leaky_relu,1.358118987,1.207173991,44.021744
0,3131795649,linear,1.332285583,1.215799057,46.171045
