iteration,seed,activation,rnn_activation,last_perf,min_perf,time
in,in,in,in,out,out,out
int,float,str,str,float,float,float
0,655383241,relu,tanh,1.319871199,1.211354589,52.768675
1,655383241,relu,relu,1.265071034,1.13410989,51.994238
0,2408250209,relu,tanh,1.320249856,1.194944334,51.461963
1,2408250209,relu,relu,1.334191751,1.191533947,58.556723
0,2987121941,relu,tanh,1.281473279,1.187008679,55.566311
1,2987121941,relu,relu,1.316500068,1.182603776,50.206665
0,976473194,relu,tanh,1.168449521,1.099219072,61.199982
1,976473194,relu,relu,1.2931023,1.167426729,54.288347
0,3358642096,relu,tanh,1.311677241,1.18899169,51.16457
1,3358642096,relu,relu,1.268719578,1.133132267,48.859145
0,2673030466,relu,tanh,1.318170059,1.210272574,47.009883
1,2673030466,relu,relu,1.327889466,1.179479539,45.304438
0,1675948680,relu,tanh,1.286875105,1.195266712,48.96235
1,1675948680,relu,relu,1.295173788,1.176069117,46.531171
0,3750562056,relu,tanh,1.309637809,1.169087088,50.52139
1,3750562056,relu,relu,2.665452099,2.402254975,45.205227
0,3807881301,relu,tanh,1.250297487,1.131890905,47.908388
1,3807881301,relu,relu,1.310147631,1.221288753,48.90099
0,1894657154,relu,tanh,1.256900907,1.164480186,47.378764
1,1894657154,relu,relu,1.351492059,1.203727365,44.294644
0,4282872790,relu,tanh,1.226779366,1.097485328,48.204092
1,4282872790,relu,relu,1.344524372,1.21424619,47.158769
0,1880323953,relu,tanh,1.270803535,1.152765143,46.638461
1,1880323953,relu,relu,1.239573467,1.093766963,45.974399
0,29871609,relu,tanh,1.272004175,1.159931529,48.558764
1,29871609,relu,relu,1.306220984,1.193361557,45.298772
0,3449405294,relu,tanh,1.312381339,1.151109242,47.296299
1,3449405294,relu,relu,1.296880567,1.192400002,52.012744
0,2061837060,relu,tanh,1.303505671,1.175172114,46.497041
1,2061837060,relu,relu,1.373419333,1.292748094,47.607705
0,682247027,relu,tanh,1.264037097,1.162734771,45.756553
1,682247027,relu,relu,1.277771926,1.202001011,48.766198
0,430054409,relu,tanh,1.249965322,1.155659974,46.590809
1,430054409,relu,relu,1.310613072,1.161509645,48.467425
0,3567245337,relu,tanh,1.376550341,1.217489791,46.386249
1,3567245337,relu,relu,1.329982877,1.182055783,50.013187
0,2403853534,relu,tanh,1.295837951,1.19018364,47.707656
1,2403853534,relu,relu,1.285758507,1.181344151,48.549764
0,2878163534,relu,tanh,1.289043474,1.191833961,47.754763
1,2878163534,relu,relu,1.306627178,1.213277507,45.558905
0,1945180724,relu,tanh,1.253027713,1.158297193,47.960078
1,1945180724,relu,relu,1.297526157,1.17970196,48.19516
0,2687272353,relu,tanh,1.206796455,1.118572259,48.132093
1,2687272353,relu,relu,2.033259094,1.88632648,46.615259
0,2050723054,relu,tanh,1.257847619,1.145069194,47.29985
1,2050723054,relu,relu,1.238160586,1.141470301,47.125077
0,1579232540,relu,tanh,1.257083762,1.108915234,50.854008
1,1579232540,relu,relu,1.28865869,1.195547688,47.712069
0,3787196546,relu,tanh,1.290404308,1.185060322,47.320058
1,3787196546,relu,relu,1.324891937,1.156888735,47.761086
0,3443761992,relu,tanh,1.187754846,1.065887463,48.118687
1,3443761992,relu,relu,1.35479852,1.239900088,45.711335
0,4051947817,relu,tanh,1.302222323,1.197829926,49.076904
1,4051947817,relu,relu,1.293797779,1.182671225,45.692328
0,3500626829,relu,tanh,1.302433884,1.148580694,48.491037
1,3500626829,relu,relu,1.356116617,1.236382663,53.081876
0,3957476614,relu,tanh,1.227496254,1.144886029,51.257843
1,3957476614,relu,relu,1.349273622,1.221542287,42.818514
0,421750690,relu,tanh,1.228689444,1.121306705,45.656297
1,421750690,relu,relu,1.321935487,1.188250601,47.367535
0,437408983,relu,tanh,1.177316773,1.116991758,50.936747
1,437408983,relu,relu,1.310123301,1.169195068,47.486315
0,26133354,relu,tanh,1.28652612,1.140914571,48.487908
1,26133354,relu,relu,1.337926686,1.199357522,46.188681
0,2090014370,relu,tanh,1.312281954,1.217866325,49.491122
1,2090014370,relu,relu,1.368541718,1.247402418,46.106678
0,81487196,relu,tanh,1.281389153,1.194621253,56.680098
1,81487196,relu,relu,1.31467483,1.18250773,47.521146
0,2437131543,relu,tanh,1.254351103,1.120410144,46.805206
1,2437131543,relu,relu,1.294919384,1.210719216,45.558494
0,3353632819,relu,tanh,1.296510303,1.152226841,49.973574
1,3353632819,relu,relu,1.327421176,1.195628083,54.079425
0,348010993,relu,tanh,1.316448438,1.18357836,48.321109
1,348010993,relu,relu,1.302995849,1.196107829,45.861341
0,908301479,relu,tanh,1.202071452,1.059876883,49.670967
1,908301479,relu,relu,1.315837026,1.208359134,46.701825
0,1871743066,relu,tanh,1.284131825,1.146336293,48.37856
1,1871743066,relu,relu,1.30878191,1.181255043,45.99836
0,2645329104,relu,tanh,1.308512831,1.186377883,48.693028
1,2645329104,relu,relu,1.214168096,1.075742519,49.371323
0,3076540842,relu,tanh,1.283258295,1.170434511,45.855253
1,3076540842,relu,relu,1.364588571,1.152590442,46.959876
0,3570987727,relu,tanh,1.293416739,1.123709035,49.485219
1,3570987727,relu,relu,1.309673369,1.206510317,47.476917
0,664590104,relu,tanh,1.261955833,1.142887318,45.052462
1,664590104,relu,relu,1.292397177,1.164233148,45.73
0,1913922619,relu,tanh,1.159938323,1.091959143,52.885438
1,1913922619,relu,relu,1.306066346,1.194740641,44.369964
0,4136930037,relu,tanh,1.24988817,1.204349995,49.649626
1,4136930037,relu,relu,1.347561979,1.225752878,45.085392
0,564679016,relu,tanh,1.227876079,1.128226101,49.052448
1,564679016,relu,relu,1.343006575,1.239575374,45.564525
0,270398028,relu,tanh,1.240441525,1.16362747,53.041847
1,270398028,relu,relu,1.259836864,1.169897187,50.614324
0,2714183118,relu,tanh,1.197174776,1.087960535,50.508105
1,2714183118,relu,relu,1.266602969,1.172934425,47.903996
0,1219285400,relu,tanh,1.203578269,1.116855836,47.180426
1,1219285400,relu,relu,1.372469699,1.242637587,45.648608
0,3770400930,relu,tanh,1.315747917,1.241855943,47.769981
1,3770400930,relu,relu,1.284193075,1.138746417,46.445267
0,2922776555,relu,tanh,1.225799727,1.134970272,50.49293
1,2922776555,relu,relu,1.324132919,1.240338123,49.21228
0,1356477331,relu,tanh,1.279333103,1.161270809,45.294442
1,1356477331,relu,relu,1.329873443,1.198446298,49.653324
0,2111217140,relu,tanh,1.333226144,1.223248518,48.671139
1,2111217140,relu,relu,1.384370065,1.26151613,45.053027
0,3677076272,relu,tanh,1.191373515,1.097345281,52.861882
1,3677076272,relu,relu,1.338604116,1.208088589,46.454169
0,1902348273,relu,tanh,1.686728525,1.582471418,97.324921
1,1902348273,relu,relu,1.296436238,1.186714971,48.304257
0,5969378,relu,tanh,1.306458688,1.192205274,48.306294
1,5969378,relu,relu,1.359135044,1.177808011,46.164597
0,3545796768,relu,tanh,1.340967882,1.218404663,46.963231
1,3545796768,relu,relu,1.331762671,1.188252985,47.250296
0,4210570680,relu,tanh,1.344935763,1.253670108,48.485015
1,4210570680,relu,relu,1.355646479,1.221765912,48.181958
0,2029735285,relu,tanh,1.254065704,1.110124314,51.306691
1,2029735285,relu,relu,1.301444542,1.198340714,48.790286
0,1828303708,relu,tanh,1.259388864,1.172853374,53.581766
1,1828303708,relu,relu,1.381953704,1.266677916,49.341094
0,4106956091,relu,tanh,1.313769722,1.198743069,49.054974
1,4106956091,relu,relu,1.310082531,1.174896753,45.588812
0,2949983250,relu,tanh,1.327429259,1.220516849,49.80337
1,2949983250,relu,relu,1.278981531,1.195178199,47.688595
0,2348259494,relu,tanh,1.224827158,1.108999693,48.927239
1,2348259494,relu,relu,1.317245209,1.193503487,45.933821
0,2819601971,relu,tanh,1.255891168,1.174412882,46.997658
1,2819601971,relu,relu,1.316682005,1.195820904,48.11405
0,16646388,relu,tanh,1.250212252,1.144104958,48.232174
1,16646388,relu,relu,1.302056074,1.243869734,50.920732
0,1739884014,relu,tanh,1.191717815,1.114065611,48.518875
1,1739884014,relu,relu,1.367803085,1.216220081,45.948618
0,4183268036,relu,tanh,1.287125695,1.141631842,48.369484
1,4183268036,relu,relu,1.327666414,1.252291882,48.362865
0,121719573,relu,tanh,1.293735206,1.175403821,46.415137
1,121719573,relu,relu,1.312404513,1.167160261,46.308235
0,1898880189,relu,tanh,1.353451514,1.223775971,48.150855
