iteration,seed,dropout,rnn_dropout,last_perf,min_perf,time
in,in,in,in,out,out,out
int,float,float,float,float,float,float
0,3380478877,0,0,1.246421468,1.134519041,48.806623
1,3380478877,0.025,0,1.265713668,1.145540285,47.344962
2,3380478877,0.05,0,1.218420517,1.113995767,49.365611
3,3380478877,0.075,0,1.312830341,1.17030344,44.655237
4,3380478877,0.1,0,1.299954379,1.191056979,57.396714
5,3380478877,0.125,0,1.364846814,1.221018624,43.996061
6,3380478877,0.15,0,1.367635167,1.251185298,46.500765
7,3380478877,0.175,0,1.391634274,1.231976497,44.869352
8,3380478877,0.2,0,1.378543663,1.245430136,44.534054
9,3380478877,0.225,0,1.209214306,1.11331805,52.688707
10,3380478877,0.25,0,1.405547476,1.265171432,45.799613
11,3380478877,0.275,0,1.47104857,1.317381763,48.63834
12,3380478877,0.3,0,1.411485136,1.182883263,46.661996
13,3380478877,0,0.025,1.30511142,1.208750153,44.289954
14,3380478877,0.025,0.025,1.222254789,1.107717657,56.826641
15,3380478877,0.05,0.025,1.368028617,1.219099236,47.936129
16,3380478877,0.075,0.025,1.183047163,1.066544151,56.069405
17,3380478877,0.1,0.025,1.285730517,1.139739561,51.385979
18,3380478877,0.125,0.025,1.39515506,1.247596049,49.867832
19,3380478877,0.15,0.025,1.303804135,1.183138835,54.212145
20,3380478877,0.175,0.025,1.401842678,1.180393672,52.632838
21,3380478877,0.2,0.025,1.338777232,1.19971503,48.91448
22,3380478877,0.225,0.025,1.374516582,1.243450713,55.798326
23,3380478877,0.25,0.025,1.406662941,1.224092865,50.85333
24,3380478877,0.275,0.025,1.419811201,1.244311595,53.5224
25,3380478877,0.3,0.025,1.395857358,1.21063056,53.343111
26,3380478877,0,0.05,1.203979647,1.06991502,58.502943
27,3380478877,0.025,0.05,1.211364186,1.127541482,61.054454
28,3380478877,0.05,0.05,1.247530496,1.148344457,61.497429
29,3380478877,0.075,0.05,1.171724975,1.046154749,61.930751
30,3380478877,0.1,0.05,1.201762486,1.077169573,66.455918
31,3380478877,0.125,0.05,1.320350695,1.204502118,52.984302
32,3380478877,0.15,0.05,1.377878988,1.163980746,51.897387
33,3380478877,0.175,0.05,1.354927957,1.206317389,58.306503
34,3380478877,0.2,0.05,1.346943104,1.21697917,57.600796
35,3380478877,0.225,0.05,1.402177858,1.233402216,55.018228
36,3380478877,0.25,0.05,1.422664702,1.255009329,47.334857
37,3380478877,0.275,0.05,1.363849497,1.196980798,52.339805
38,3380478877,0.3,0.05,1.40938251,1.256250441,47.871897
39,3380478877,0,0.075,1.232964671,1.140327287,57.975599
40,3380478877,0.025,0.075,1.179353344,1.054683959,58.702041
41,3380478877,0.05,0.075,1.239527464,1.152130139,55.460437
42,3380478877,0.075,0.075,1.199222434,1.064291883,55.394461
