iteration,seed,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
0,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,lstm,230,tanh,0,relu,1.2430567145347595,1.1476719737052918,49.098584
1,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0,relu,1.3031068325042725,1.1681179046630858,52.949417999999994
2,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.05,lstm,230,tanh,0,relu,1.2311400890350341,1.1244507074356078,53.353179
3,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.075,lstm,230,tanh,0,relu,1.2973695755004884,1.2208919763565063,52.014303
4,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0,relu,1.3461981892585755,1.2331754326820374,47.440405
5,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.125,lstm,230,tanh,0,relu,1.2647264122962951,1.1660473346710205,53.999582000000004
6,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.15,lstm,230,tanh,0,relu,1.4458788871765136,1.3252647876739503,47.51153
7,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.175,lstm,230,tanh,0,relu,1.3910104751586914,1.1986915349960328,47.584542
8,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.2,lstm,230,tanh,0,relu,1.3590714812278748,1.2612028121948242,52.412037
9,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.225,lstm,230,tanh,0,relu,1.3874367594718933,1.2668617129325868,48.22237200000001
10,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.25,lstm,230,tanh,0,relu,1.3970920085906982,1.2084994435310363,45.265529
11,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.275,lstm,230,tanh,0,relu,1.4464579343795776,1.2177841544151307,48.593847000000004
12,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.3,lstm,230,tanh,0,relu,1.4516841650009156,1.222040331363678,45.183902
13,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,lstm,230,tanh,0.025,relu,1.1979928374290467,1.0818862915039062,48.885655
14,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.025,relu,1.2686080574989318,1.1633867979049684,50.208853
15,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.05,lstm,230,tanh,0.025,relu,1.1969791769981384,1.1225661516189576,60.040016
16,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.075,lstm,230,tanh,0.025,relu,1.313197100162506,1.203409230709076,43.802905
17,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.025,relu,1.2440118074417115,1.1659823417663575,47.951167
18,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.125,lstm,230,tanh,0.025,relu,1.3018561959266663,1.1763427138328553,45.75315199999999
19,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.15,lstm,230,tanh,0.025,relu,1.1416709661483764,1.0438477993011475,50.660285
