iteration,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
1,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.249942660331726,1.1744940757751465,50.019233
2,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2259675145149231,1.0577027797698975,51.886326
3,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.170836901664734,1.057913315296173,49.898257
4,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2315359711647034,1.1228963017463685,47.809417999999994
5,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.169946050643921,1.0671408414840697,47.84185
6,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.1832400798797607,1.1062945604324341,52.566082
7,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.164837896823883,1.07740159034729,53.616985
8,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2408039569854736,1.115058135986328,52.271684
9,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.1222588896751404,1.0048336863517762,53.713854000000005
10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,5.789462780952453,5.724993026256561,49.650621
11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.244197916984558,1.1245079040527344,51.151116
12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2241920351982116,1.093347418308258,52.084486999999996
13,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2578352093696594,1.1283575534820556,47.622738000000005
