iteration,dense_layers_1,dense_layers_2,dense_layers_3,dense_layers_4,dense_layers_5,dense_layers_6,dense_layers_7,dense_layers_8,dense_layers_9,dense_layers_10,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out
int,int,int,int,int,int,int,int,int,int,int,int,str,str,str,float,str,int,str,float,str,float,float,float
0,389,456,216,21,133,495,262,0,0,0,7,0.0005,rmsprop,relu,0.15,lstm,257,relu,0,linear,1.433972967,1.250849736,52.293904
1,287,52,182,223,162,313,328,468,0,0,8,5.00E-05,adadelta,relu,0.2,none,641,tanh,0.15,linear,1.626088452,1.158570838,22.536585
2,98,470,0,0,0,0,0,0,0,0,2,0.001,adam,leaky_relu,0.15,none,502,tanh,0.25,relu,1.567110968,1.230815089,9.077364
3,281,301,148,228,47,306,409,198,163,295,10,0.001,adam,leaky_relu,0,none,154,relu,0.25,linear,1.887187266,1.255941844,18.041508
4,416,121,435,111,459,348,302,423,487,0,9,0.0005,adadelta,leaky_relu,0.25,simplernn,249,tanh,0.1,relu,1.717049074,1.14992851,40.196607
5,219,418,32,52,401,75,0,0,0,0,6,0.001,adadelta,relu,0.1,none,401,relu,0,relu,2.162368894,1.210035217,17.784203
6,246,108,0,0,0,0,0,0,0,0,2,0.005,adam,relu,0,simplernn,185,tanh,0,linear,1.786050129,1.404236734,21.619037
7,134,184,464,375,0,0,0,0,0,0,4,5.00E-05,adadelta,relu,0.1,none,257,tanh,0,linear,1.739919543,1.143607247,12.701717
8,448,261,470,160,333,183,199,429,337,129,10,0.005,adam,relu,0.1,simplernn,295,relu,0.2,relu,1.366275454,1.158512819,44.79688
9,305,0,0,0,0,0,0,0,0,0,1,0.0005,adam,leaky_relu,0.25,none,893,tanh,0,relu,1.386650956,1.325614047,8.567721
10,360,81,229,271,454,0,0,0,0,0,5,5.00E-05,adam,leaky_relu,0.2,simplernn,987,relu,0.1,linear,2.522344089,2.289045954,38.840671
11,162,2,110,8,368,387,2,0,0,0,7,5.00E-05,adam,relu,0.15,none,488,tanh,0,linear,2.160781193,2.126890707,27.139804
12,442,132,0,0,0,0,0,0,0,0,2,5.00E-05,adadelta,relu,0,lstm,572,tanh,0,linear,1.291192377,0.935186768,80.699951
13,328,223,191,447,276,92,107,193,0,0,8,0.005,rmsprop,leaky_relu,0.15,none,277,tanh,0.25,relu,1.671391582,1.422105122,18.307276
14,375,123,479,25,158,92,439,268,0,0,8,0.0005,rmsprop,relu,0.2,simplernn,119,tanh,0.15,relu,1.639928198,1.286058378,32.683584
15,321,290,193,0,0,0,0,0,0,0,3,0.005,adam,relu,0,simplernn,501,relu,0.15,linear,1.54039166,1.250174975,22.877137
16,398,86,221,99,184,59,33,421,443,437,10,5.00E-05,adadelta,leaky_relu,0.1,none,817,relu,0.2,relu,1.84436636,1.158496165,25.823791
17,306,250,0,0,0,0,0,0,0,0,2,0.0001,rmsprop,leaky_relu,0.15,none,651,relu,0.1,linear,1.312668288,1.280655861,9.7496
18,19,269,76,448,132,309,0,0,0,0,6,0.0001,adadelta,leaky_relu,0,none,68,relu,0.2,relu,2.175377297,1.233760381,12.057421
19,445,336,236,0,0,0,0,0,0,0,3,5.00E-05,adadelta,relu,0.25,none,765,relu,0.25,linear,1.605443215,1.178829527,11.063104
20,312,301,120,436,443,409,11,0,0,0,7,0.005,rmsprop,leaky_relu,0.2,none,311,tanh,0,relu,1.576531339,1.22504425,15.907665
21,147,374,425,172,0,0,0,0,0,0,4,0.005,adam,relu,0.1,none,37,tanh,0,relu,1.947543454,1.34223516,12.680264
22,17,0,0,0,0,0,0,0,0,0,1,0.001,adam,leaky_relu,0.2,lstm,479,tanh,0.25,relu,1.96749506,1.853146815,78.867792
23,410,151,470,382,447,491,349,0,0,0,7,0.005,adam,leaky_relu,0.1,lstm,924,tanh,0,relu,5.766873956,1.482580781,61.287172
24,48,398,420,453,0,0,0,0,0,0,4,5.00E-05,rmsprop,relu,0.25,lstm,426,tanh,0,linear,1.422988439,1.348540747,76.638726
25,16,255,471,443,493,167,370,0,0,0,7,0.0005,rmsprop,leaky_relu,0,none,375,relu,0.1,relu,1.512959957,1.279313087,10.667117
26,151,0,0,0,0,0,0,0,0,0,1,0.005,adam,relu,0.2,simplernn,990,tanh,0.15,linear,1.654528069,1.615829277,39.145414
27,304,42,53,0,0,0,0,0,0,0,3,0.0005,adam,relu,0.1,lstm,430,relu,0.2,relu,1.625516582,1.555592132,78.224492
28,216,154,282,0,0,0,0,0,0,0,3,0.001,rmsprop,relu,0.15,none,386,tanh,0.15,linear,1.551968384,1.252477849,8.644017
29,488,242,47,487,95,0,0,0,0,0,5,0.0005,adadelta,leaky_relu,0.1,none,254,tanh,0.1,relu,2.335948062,1.343247175,14.164829
30,387,105,151,1,426,358,230,317,0,0,8,0.001,adadelta,relu,0.2,simplernn,238,tanh,0,relu,1.580534601,1.034910882,43.435649
31,132,0,0,0,0,0,0,0,0,0,1,5.00E-05,rmsprop,leaky_relu,0.1,none,812,tanh,0.1,relu,1.398162806,1.396167505,24.795272
32,213,441,0,0,0,0,0,0,0,0,2,5.00E-05,adadelta,relu,0.25,simplernn,381,relu,0,linear,1.769991803,1.352458715,24.993043
33,287,343,154,0,0,0,0,0,0,0,3,0.0001,adam,leaky_relu,0,lstm,54,relu,0.2,relu,1.469236875,1.447442579,55.587764
34,35,352,444,42,352,487,380,474,343,0,9,0.0005,adadelta,leaky_relu,0.15,none,770,relu,0.2,linear,1.862420273,1.188960481,23.294017
35,170,216,332,0,0,0,0,0,0,0,3,0.0001,adadelta,leaky_relu,0.1,simplernn,504,relu,0.2,relu,1.76591239,1.163550079,34.683839
36,18,120,325,44,446,96,187,0,0,0,7,0.001,rmsprop,leaky_relu,0.15,lstm,529,tanh,0.2,linear,1.429540586,1.316095996,73.747009
37,173,137,22,23,0,0,0,0,0,0,4,0.0005,adadelta,relu,0.1,none,944,relu,0,relu,2.027411461,1.334517598,15.275389
38,166,275,234,458,167,131,0,0,0,0,6,0.005,adam,leaky_relu,0.1,simplernn,881,tanh,0.1,relu,3.018216276,1.821238637,39.902443
39,236,0,0,0,0,0,0,0,0,0,1,0.0001,rmsprop,leaky_relu,0,lstm,158,relu,0,linear,3.27629602,2.729826117,76.663718
40,491,0,0,0,0,0,0,0,0,0,1,0.0001,rmsprop,leaky_relu,0,none,555,tanh,0.25,linear,1.426219773,1.414261866,9.409007
41,119,9,61,315,402,0,0,0,0,0,5,0.001,adam,relu,0.25,lstm,661,tanh,0.25,relu,2.201662493,1.714565551,69.467347
42,34,266,158,346,0,0,0,0,0,0,4,0.0005,rmsprop,relu,0.25,none,651,relu,0.1,relu,1.380865979,1.184242105,13.124102
43,392,106,401,0,0,0,0,0,0,0,3,0.0001,adadelta,relu,0.1,none,606,tanh,0,relu,1.623225784,1.151388931,13.934479
44,306,184,251,234,159,7,491,113,285,0,9,0.0001,adadelta,leaky_relu,0,simplernn,842,tanh,0,linear,2.430454922,0.884300208,68.235675
45,176,442,226,343,0,0,0,0,0,0,4,0.001,adadelta,relu,0.25,lstm,503,relu,0,linear,1.427488005,1.028439736,72.936065
46,421,32,0,0,0,0,0,0,0,0,2,0.0001,adam,relu,0.1,none,805,tanh,0.15,linear,1.321817636,1.31525557,17.704553
47,290,0,0,0,0,0,0,0,0,0,1,0.0001,adam,relu,0.25,none,82,relu,0,relu,1.396405852,1.392907953,16.241504
48,87,368,41,219,475,443,307,54,318,0,9,0.001,adam,leaky_relu,0,simplernn,155,tanh,0.2,linear,1.36391468,1.158693552,32.7964
49,8,160,272,462,148,282,241,0,0,0,7,5.00E-05,rmsprop,relu,0,simplernn,280,relu,0.25,linear,1.769618237,1.622144377,52.123435
50,391,271,265,175,0,0,0,0,0,0,4,0.0005,adadelta,relu,0.25,none,939,relu,0,relu,1.957283187,1.191114831,13.419834
51,80,488,177,186,150,321,151,166,254,401,10,0.0001,adam,relu,0.15,none,492,tanh,0.1,linear,1.318095827,1.249599349,29.795977
52,487,426,90,272,87,0,0,0,0,0,5,0.001,adadelta,leaky_relu,0.15,lstm,840,tanh,0.25,linear,1.842470038,1.132116878,81.865125
53,362,401,222,406,0,0,0,0,0,0,4,0.005,adam,leaky_relu,0,none,629,relu,0.15,relu,2.229409885,1.380014384,10.533513
54,324,182,322,359,0,0,0,0,0,0,4,0.001,adam,leaky_relu,0.2,simplernn,917,relu,0.1,relu,1.472154903,1.334499061,33.573276
55,325,203,482,140,130,224,452,0,0,0,7,0.0005,adam,leaky_relu,0.15,simplernn,795,tanh,0,linear,1.946149993,1.815033293,36.900853
56,65,289,364,143,168,421,13,204,243,472,10,0.005,rmsprop,relu,0,none,323,relu,0.1,linear,1.382441926,1.166390193,13.410306
57,344,73,305,76,207,444,157,0,0,0,7,0.001,adam,relu,0.25,simplernn,353,relu,0.1,relu,1.445026422,1.326338696,33.086027
58,168,359,363,130,401,0,0,0,0,0,5,0.0001,adam,leaky_relu,0,none,525,tanh,0,linear,1.364238238,1.285052502,12.553584
59,123,416,235,268,82,364,171,468,336,70,10,5.00E-05,adam,leaky_relu,0,simplernn,344,tanh,0,relu,2.016526556,1.964973867,36.443637
60,376,65,10,0,0,0,0,0,0,0,3,5.00E-05,rmsprop,leaky_relu,0,none,173,relu,0.2,linear,1.351949084,1.346259832,19.824288
61,289,435,412,233,212,0,0,0,0,0,5,0.0001,adam,relu,0,lstm,631,relu,0.25,linear,1.468594074,1.427337527,60.345381
62,42,440,27,275,442,206,405,402,0,0,8,0.0005,adadelta,relu,0,lstm,529,tanh,0,relu,12.93584347,12.93584347,41.094406
63,357,76,83,90,400,472,82,328,349,0,9,5.00E-05,adam,leaky_relu,0.1,none,990,relu,0.2,relu,1.321365309,1.255013418,27.015148
64,290,395,7,84,477,299,3,0,0,0,7,0.001,adam,leaky_relu,0,lstm,152,tanh,0.2,linear,1.29318924,1.184223998,52.657597
65,473,71,187,262,0,0,0,0,0,0,4,0.0001,rmsprop,leaky_relu,0.2,none,391,tanh,0.2,relu,1.395625114,1.324586439,12.828882
66,142,454,270,191,278,0,0,0,0,0,5,5.00E-05,adam,leaky_relu,0.2,none,899,relu,0,linear,1.27071625,1.251476479,18.402063
67,474,54,366,236,310,237,83,0,0,0,7,0.0001,adadelta,leaky_relu,0,none,644,tanh,0,linear,1.991369033,1.312302279,13.185437
68,371,299,167,0,0,0,0,0,0,0,3,0.005,rmsprop,leaky_relu,0.1,lstm,366,tanh,0.2,relu,1.248139548,1.119786811,45.418193
69,279,372,284,71,87,79,107,0,0,0,7,0.005,rmsprop,leaky_relu,0.15,none,937,tanh,0.15,linear,1.69517976,1.435398912,16.348541
70,496,170,273,356,75,468,193,379,381,0,9,0.001,rmsprop,leaky_relu,0.2,none,700,relu,0.25,relu,1.53416214,1.249263501,18.466872
71,306,330,309,263,0,0,0,0,0,0,4,5.00E-05,adam,relu,0.15,none,111,tanh,0.15,relu,1.266792476,1.250901389,16.996265
72,288,283,424,0,0,0,0,0,0,0,3,5.00E-05,adam,relu,0.25,lstm,701,relu,0.2,linear,1.778761625,1.758613682,87.632584
