iteration,seed,rnn_type,rnn_size,last_perf,min_perf,time
in,in,in,in,out,out,out
int,int,str,int,float,float,float
0,0,none,0,1.695663905,1.303907371,12.685055
1,0,lstm,50,1.202011895,1.097745407,51.548024
2,0,lstm,65,1.226138914,1.071349549,45.34404
3,0,lstm,80,1.244254994,1.14116143,47.999097
4,0,lstm,95,1.169978178,1.044218206,48.039312
5,0,lstm,110,1.384381771,1.271738291,36.850007
6,0,lstm,125,1.211146796,1.109692454,38.964578
7,0,lstm,140,1.214536417,1.092566359,37.951193
8,0,lstm,155,1.209107947,1.083210588,40.139234
9,0,lstm,170,1.249352109,1.073722506,39.626121
10,0,lstm,185,1.274835074,1.153686798,38.238555
11,0,lstm,200,1.263116968,1.147782755,36.301712
12,0,lstm,215,1.257417178,1.150928843,38.477482
13,0,lstm,230,1.302032888,1.208745992,36.756014
14,0,lstm,245,1.206199503,1.113736975,40.880735
15,0,lstm,260,1.288822389,1.174461675,36.92828
16,0,lstm,275,1.245332003,1.094225383,43.036747
17,0,lstm,290,1.095614946,1.010763144,42.166239
18,0,lstm,305,1.26020124,1.114681876,38.642821
19,0,lstm,320,1.184574819,1.018855178,41.240257
20,0,lstm,335,1.221650517,1.090747631,40.837775
21,0,lstm,350,1.261499846,1.160899746,39.871028
22,0,lstm,365,1.242899454,1.123026681,40.383067
23,0,lstm,380,1.183214653,1.073456895,41.661973
24,0,lstm,395,1.356075597,1.243911159,38.654743
25,0,lstm,410,1.360593045,1.231857955,38.038686
26,0,lstm,425,1.498757005,1.315481067,39.936303
27,0,lstm,440,1.477756572,1.163172615,38.829206
28,0,lstm,455,1.27124126,1.137260568,41.687956
29,0,lstm,470,1.128863633,0.989560354,46.110827
30,0,lstm,485,1.379431188,1.2247329,41.121844
1,1,lstm,50,1.218414319,1.106411719,37.095556
2,1,lstm,65,1.256127787,1.135774755,42.008363
3,1,lstm,80,1.286222017,1.14186151,42.822597
4,1,lstm,95,1.213340795,1.054933929,39.242064
5,1,lstm,110,1.239312458,1.07639823,39.905362
6,1,lstm,125,1.210424519,1.09445926,40.072017
7,1,lstm,140,1.220428097,1.087773073,39.200789
8,1,lstm,155,1.228365827,1.134177601,34.014441
9,1,lstm,170,1.275794482,1.164881825,34.050021
10,1,lstm,185,1.303808331,1.156598556,35.434705
11,1,lstm,200,1.304876709,1.194786155,35.737266
12,1,lstm,215,1.179317474,1.057634258,41.798368
13,1,lstm,230,1.219171631,1.098443139,40.305789
14,1,lstm,245,1.200885272,1.052386594,41.104124
15,1,lstm,260,1.333031273,1.190785897,39.087117
16,1,lstm,275,1.321568584,1.238844001,39.54874
17,1,lstm,290,1.186806285,1.07120235,39.477898
18,1,lstm,305,1.247165394,1.109490335,42.679392
19,1,lstm,320,1.237921333,1.103330016,44.864299
20,1,lstm,335,1.268392181,1.134779477,40.63534
21,1,lstm,350,1.253804243,1.137121141,40.928322
22,1,lstm,365,1.279170787,1.204652703,41.39594
23,1,lstm,380,1.115604901,1.01283251,43.347673
24,1,lstm,395,1.28958782,1.222653449,40.000038
25,1,lstm,410,1.44198935,1.24569931,42.300333
26,1,lstm,425,1.332629061,1.242916965,39.587187
27,1,lstm,440,1.352856112,1.1623155,44.148217
28,1,lstm,455,1.309664273,1.1366606,42.488492
29,1,lstm,470,1.318267941,1.209895158,41.917728
30,1,lstm,485,1.30309211,1.229296792,44.443296
1,2,lstm,50,1.198151326,1.069173849,38.091951
2,2,lstm,65,1.224273837,1.078246927,37.938329
3,2,lstm,80,1.178633809,1.070462763,42.866442
4,2,lstm,95,1.192335951,1.089494574,43.569457
5,2,lstm,110,1.167962527,0.99590956,39.069277
6,2,lstm,125,1.199697018,1.07527833,36.260463
7,2,lstm,140,1.218668604,1.067665148,37.755837
8,2,lstm,155,1.3141307,1.197256303,34.322686
9,2,lstm,170,1.240562332,1.139174604,37.922259
10,2,lstm,185,1.235203576,1.095823836,39.379709
11,2,lstm,200,1.105998683,1.007425857,44.826839
12,2,lstm,215,1.101008856,0.984047365,40.628338
13,2,lstm,230,1.270211613,1.038532412,38.666278
14,2,lstm,245,1.220828843,1.131222785,39.513657
15,2,lstm,260,1.314884293,1.229708421,38.098317
16,2,lstm,275,1.244762099,1.123575652,38.423738
17,2,lstm,290,1.220896673,1.132265818,39.660129
18,2,lstm,305,1.244037271,1.06637522,40.291048
19,2,lstm,320,1.235160244,1.105275154,39.60403
20,2,lstm,335,1.220496154,1.102053463,41.006882
21,2,lstm,350,1.227283669,1.113706267,38.553068
22,2,lstm,365,1.111831605,1.008413649,42.713636
23,2,lstm,380,1.247341585,1.113600791,41.808766
24,2,lstm,395,1.126444221,0.986259425,42.456694
25,2,lstm,410,1.198368776,1.07469734,41.724279
26,2,lstm,425,1.278914094,1.148176908,40.572104
27,2,lstm,440,1.352138376,1.174867654,40.271195
28,2,lstm,455,1.286097026,1.121175468,43.400392
29,2,lstm,470,1.330474269,1.18605473,43.781027
30,2,lstm,485,1.319458723,1.18076781,44.084246
1,3,lstm,50,1.254347181,1.133572721,39.114238
2,3,lstm,65,1.210764754,1.069197488,39.583957
3,3,lstm,80,1.263226223,1.15004859,39.873611
4,3,lstm,95,1.187676895,1.082556641,41.020354
5,3,lstm,110,1.277836919,1.164493799,34.242937
6,3,lstm,125,1.237815928,1.103590643,34.618896
7,3,lstm,140,1.294065201,1.173102713,37.678204
8,3,lstm,155,1.310093665,1.208102632,36.672627
9,3,lstm,170,1.236534429,1.107271159,40.792492
10,3,lstm,185,1.326816916,1.187829113,37.659561
11,3,lstm,200,1.194932783,1.066348779,37.875217
12,3,lstm,215,1.270177591,1.137012064,38.439968
13,3,lstm,230,1.208860445,1.062517047,36.070657
